radius	csound	density	pressure	Gamma_1	temperature
9.9993180E-001	8.2328861E+005	2.5028060E-007	1.0547081E+005	1.6084187E+000	6.3891459E+003
9.9992960E-001	8.2461473E+005	2.5163630E-007	1.0652372E+005	1.6063092E+000	6.4179564E+003
9.9992740E-001	8.2590902E+005	2.5291212E-007	1.0754727E+005	1.6041120E+000	6.4467221E+003
9.9992540E-001	8.2716941E+005	2.5410974E-007	1.0854136E+005	1.6018248E+000	6.4754206E+003
9.9992340E-001	8.2839458E+005	2.5523141E-007	1.0950625E+005	1.5994464E+000	6.5040385E+003
9.9992150E-001	8.2958950E+005	2.5628005E-007	1.1044268E+005	1.5969980E+000	6.5325724E+003
9.9991960E-001	8.3075655E+005	2.5725910E-007	1.1135179E+005	1.5944874E+000	6.5610320E+003
9.9991780E-001	8.3189631E+005	2.5817224E-007	1.1223530E+005	1.5919099E+000	6.5894443E+003
9.9991610E-001	8.3300953E+005	2.5902351E-007	1.1309530E+005	1.5892586E+000	6.6178480E+003
9.9991440E-001	8.3409615E+005	2.5981664E-007	1.1393372E+005	1.5865250E+000	6.6462814E+003
9.9991270E-001	8.3515677E+005	2.6055521E-007	1.1475252E+005	1.5837023E+000	6.6747820E+003
9.9991110E-001	8.3619241E+005	2.6124303E-007	1.1555414E+005	1.5807807E+000	6.7034092E+003
9.9990950E-001	8.3720529E+005	2.6188413E-007	1.1634173E+005	1.5777478E+000	6.7322536E+003
9.9990800E-001	8.3819865E+005	2.6248265E-007	1.1711884E+005	1.5745909E+000	6.7614249E+003
9.9990650E-001	8.3918229E+005	2.6304260E-007	1.1788912E+005	1.5713212E+000	6.7910440E+003
9.9990490E-001	8.4015987E+005	2.6356767E-007	1.1865628E+005	1.5679250E+000	6.8212390E+003
9.9990340E-001	8.4113242E+005	2.6406106E-007	1.1942409E+005	1.5643761E+000	6.8521441E+003
9.9990190E-001	8.4209994E+005	2.6452574E-007	1.2019618E+005	1.5606465E+000	6.8838957E+003
9.9990030E-001	8.4306244E+005	2.6496451E-007	1.2097621E+005	1.5567082E+000	6.9166273E+003
9.9989880E-001	8.4401870E+005	2.6537985E-007	1.2176754E+005	1.5525320E+000	6.9504630E+003
9.9989720E-001	8.4496593E+005	2.6577439E-007	1.2257331E+005	1.5480878E+000	6.9855101E+003
9.9989550E-001	8.4590374E+005	2.6615055E-007	1.2339611E+005	1.5433620E+000	7.0218498E+003
9.9989390E-001	8.4684142E+005	2.6651152E-007	1.2423824E+005	1.5383844E+000	7.0595359E+003
9.9989220E-001	8.4777447E+005	2.6685990E-007	1.2510104E+005	1.5331445E+000	7.0985684E+003
9.9989050E-001	8.4869532E+005	2.6719806E-007	1.2598447E+005	1.5276361E+000	7.1388724E+003
